testAccu, trainLoss
50.36, 1.6317173
63.59, 1.0881300
68.67, 0.8345923
68.42, 0.6924507
75.55, 0.6040313
82.18, 0.5404195
81.57, 0.5017599
83.30, 0.4613418
83.59, 0.4380511
83.66, 0.4256793
82.44, 0.3909137
84.27, 0.3783312
84.02, 0.3652836
78.90, 0.3517694
82.79, 0.3468472
84.17, 0.3315217
85.42, 0.3346403
79.69, 0.3161827
84.75, 0.3169148
84.97, 0.3081787
83.90, 0.3058416
85.87, 0.3021563
85.47, 0.2992987
87.16, 0.2940388
83.32, 0.2893914
83.90, 0.2860460
84.76, 0.2883430
85.57, 0.2847794
84.50, 0.2759106
84.85, 0.2736165
83.44, 0.2709032
85.56, 0.2661740
83.04, 0.2676358
85.78, 0.2672437
86.53, 0.2612041
85.84, 0.2585114
85.70, 0.2563986
87.03, 0.2586082
82.29, 0.2598134
83.65, 0.2504666
87.89, 0.2530687
85.76, 0.2465978
87.46, 0.2463851
86.56, 0.2471724
87.79, 0.2502838
86.15, 0.2436024
82.46, 0.2537400
86.67, 0.2414577
87.33, 0.2349319
83.18, 0.2380801
87.53, 0.2373620
83.88, 0.2428013
87.92, 0.2319768
87.60, 0.2301551
89.30, 0.2368694
88.07, 0.2337539
86.54, 0.2245433
87.19, 0.2281302
85.96, 0.2298618
85.30, 0.2349465
83.73, 0.2251851
87.66, 0.2262688
86.27, 0.2251781
89.19, 0.2256757
87.04, 0.2240739
85.71, 0.2236197
86.77, 0.2250197
87.75, 0.2160561
87.58, 0.2208750
86.61, 0.2251498
88.06, 0.2169491
86.26, 0.2192594
85.70, 0.2146795
88.83, 0.2222941
85.98, 0.2119569
89.45, 0.2182900
84.77, 0.2148638
86.04, 0.2160971
87.04, 0.2173219
84.74, 0.2107356
87.27, 0.2162688
88.55, 0.2069817
84.70, 0.2058892
87.97, 0.2109311
87.20, 0.2143185
88.22, 0.2159796
88.29, 0.2058173
85.02, 0.2123542
88.18, 0.2125669
84.43, 0.2111684
87.39, 0.2078477
88.32, 0.2113779
85.81, 0.2093002
87.77, 0.2156051
87.28, 0.2082583
88.95, 0.2118452
86.82, 0.2030980
87.72, 0.2023125
87.67, 0.2027710
87.05, 0.2114761
87.84, 0.2047402
88.91, 0.2062008
83.67, 0.2024850
86.91, 0.2030747
88.06, 0.2096460
86.29, 0.2008660
85.29, 0.2015183
88.13, 0.2036208
88.70, 0.2035229
88.94, 0.2067763
85.76, 0.2079847
87.33, 0.2019950
87.54, 0.2034469
86.29, 0.2059844
88.32, 0.1986875
86.81, 0.2020365
87.02, 0.2076221
86.62, 0.2004200
88.42, 0.2019734
86.07, 0.2015224
88.33, 0.2052116
88.63, 0.1966714
89.40, 0.2006860
89.37, 0.1969400
87.02, 0.1985277
88.66, 0.2013950
87.65, 0.2002099
88.93, 0.1968908
88.08, 0.1944813
87.73, 0.2044803
88.51, 0.2061267
78.27, 0.1984457
88.53, 0.1970873
88.02, 0.2006309
89.43, 0.2020621
89.03, 0.2026050
88.57, 0.1979980
87.12, 0.1952909
87.70, 0.2016180
87.29, 0.1951088
87.43, 0.2000817
86.67, 0.1974406
87.34, 0.1906845
87.33, 0.1941544
89.49, 0.1997182
88.85, 0.1929801
89.63, 0.2038919
86.61, 0.2009063
86.97, 0.2040386
88.30, 0.1952262
93.05, 0.0782001
93.22, 0.0474433
93.36, 0.0356211
93.39, 0.0282886
93.45, 0.0242880
93.35, 0.0189220
93.42, 0.0184717
93.47, 0.0151709
93.40, 0.0145381
93.49, 0.0131591
93.38, 0.0133336
93.59, 0.0113392
93.62, 0.0111143
93.46, 0.0088396
93.48, 0.0086240
93.41, 0.0084265
93.65, 0.0087326
93.60, 0.0077897
93.75, 0.0087147
93.52, 0.0081743
93.55, 0.0073723
93.31, 0.0061324
93.32, 0.0073091
93.44, 0.0064653
93.35, 0.0065431
93.30, 0.0065401
93.54, 0.0070146
93.53, 0.0063972
93.39, 0.0071960
93.70, 0.0065174
93.60, 0.0067573
93.41, 0.0061546
93.48, 0.0062544
93.44, 0.0059254
93.45, 0.0051400
93.34, 0.0059277
93.25, 0.0052930
93.35, 0.0050724
93.48, 0.0050526
93.33, 0.0063928
93.19, 0.0052732
93.35, 0.0056157
93.31, 0.0066620
93.52, 0.0063495
93.33, 0.0054227
93.23, 0.0044933
93.32, 0.0071711
93.33, 0.0063883
93.34, 0.0055903
93.17, 0.0049764
93.12, 0.0052231
93.42, 0.0055791
93.12, 0.0067457
93.27, 0.0058163
93.16, 0.0061803
93.73, 0.0058150
93.21, 0.0072610
93.39, 0.0050706
93.49, 0.0055232
93.41, 0.0054454
93.15, 0.0064893
93.27, 0.0057414
93.15, 0.0069377
93.32, 0.0088692
93.19, 0.0075718
93.27, 0.0072111
92.86, 0.0065375
93.02, 0.0115232
93.28, 0.0073907
92.90, 0.0089927
92.97, 0.0086658
92.81, 0.0081607
92.95, 0.0087597
92.81, 0.0116718
92.60, 0.0109180
93.10, 0.0070350
93.20, 0.0051384
93.40, 0.0045314
93.38, 0.0038267
93.55, 0.0038376
93.61, 0.0032528
93.55, 0.0030734
93.54, 0.0029000
93.61, 0.0031366
93.52, 0.0027750
93.55, 0.0026670
93.52, 0.0021682
93.60, 0.0027712
93.69, 0.0021626
93.68, 0.0023081
93.55, 0.0022574
93.50, 0.0024010
93.71, 0.0020527
93.59, 0.0021447
93.73, 0.0019122
93.58, 0.0018743
93.72, 0.0019271
93.74, 0.0019437
93.76, 0.0018147
93.71, 0.0020453
93.65, 0.0017983
93.77, 0.0016942
93.82, 0.0020800
93.67, 0.0018230
93.91, 0.0017654
93.76, 0.0019652
93.82, 0.0017415
93.83, 0.0016209
93.87, 0.0019405
93.74, 0.0017006
93.72, 0.0015559
93.66, 0.0016162
93.71, 0.0017880
93.71, 0.0014374
93.80, 0.0018416
93.65, 0.0016829
93.75, 0.0016918
93.79, 0.0014753
93.73, 0.0017186
93.74, 0.0016987
93.52, 0.0014493
93.80, 0.0015680
93.88, 0.0014583
93.76, 0.0015572
93.70, 0.0015143
93.81, 0.0015032
93.71, 0.0012096
93.70, 0.0013802
93.79, 0.0018557
93.88, 0.0018232
93.72, 0.0015277
93.75, 0.0015576
93.79, 0.0016236
93.48, 0.0013790
93.73, 0.0015662
93.73, 0.0013488
93.80, 0.0017182
93.89, 0.0013612
93.86, 0.0013547
93.83, 0.0015482
93.89, 0.0014095
93.90, 0.0011925
93.90, 0.0013470
93.82, 0.0013195
93.69, 0.0013588
93.93, 0.0016437
93.85, 0.0014337
93.76, 0.0016381
93.78, 0.0010595
93.83, 0.0012288
